"ProduksiID","TanggalProduksi","ProdukID","JumlahProduksi","BiayaProduksi",""
"1.00","2023-07-03","4.00","151.00","162339.92",""
"2.00","2023-11-12","2.00","184.00","85422.72",""
"3.00","2023-06-05","8.00","139.00","53725.35",""
"4.00","2023-07-08","9.00","93.00","104260.18",""
"5.00","2023-02-28","6.00","88.00","194931.99",""
"6.00","2023-12-07","3.00","193.00","195329.16",""
"7.00","2023-05-11","10.00","168.00","100238.14",""
"8.00","2023-04-06","9.00","65.00","121499.23",""
"9.00","2023-05-14","1.00","163.00","155214.29",""
"10.00","2023-07-27","8.00","60.00","118376.14",""
"11.00","2023-04-21","8.00","160.00","114880.23",""
"12.00","2023-01-22","7.00","67.00","183071.86",""
"13.00","2023-06-20","9.00","139.00","162563.41",""
"14.00","2023-02-10","3.00","125.00","67836.93",""
"15.00","2023-08-03","4.00","65.00","52679.98",""
"16.00","2023-11-05","8.00","73.00","97951.18",""
"17.00","2023-05-23","9.00","177.00","135868.47",""
"18.00","2023-08-13","1.00","63.00","131567.97",""
"19.00","2023-09-24","1.00","50.00","93258.25",""
"20.00","2023-07-27","10.00","93.00","100319.73",""
"","","","","",""
